system,dataset,train,char_tp,char_fp,char_fn,positive_rows,residual_rows,raw_residual_rows,raw_original_residual_rows,negative_rows,negative_rows_touched,negative_characters,negative_characters_masked,gold,original_gold,hit,hidden,raw_hidden,original_hidden,char_precision,char_recall,char_f1
model:gliner2-vladlinv-ru,alexen2,False,18514,0,940,871,676,676,676,40,0,1553,0,1261,1261,1261,332,332,332,1.0,0.9516808882492033,0.9752423093131058
model:gliner2-vladlinv,alexen2,False,18514,15,940,871,676,676,676,40,0,1553,0,1261,1261,1261,332,332,332,0.9991904582006584,0.9516808882492033,0.9748571729457916
model:ru-pii-ner,alexen2,False,18514,142,940,871,676,676,676,40,9,1553,107,1261,1261,1261,332,332,332,0.9923885077186964,0.9516808882492033,0.9716085017055891
model:gliner2-fastino,alexen2,False,18468,198,986,871,667,667,667,40,14,1553,130,1261,1261,1258,350,350,350,0.9893924783027965,0.9493163359720366,0.9689401888772299
model:gliner2-fastino-ru,alexen2,False,18447,71,1007,871,670,670,670,40,7,1553,67,1261,1261,1257,345,345,345,0.9961658926449941,0.9482368664541997,0.9716106604866743
model:gliner2-hivetrace-omni,alexen2,False,18479,196,975,871,669,669,669,40,14,1553,140,1261,1261,1256,349,349,349,0.9895046854082998,0.9498817723861417,0.9692884680951507
model:gliner2-hivetrace-omni-ru,alexen2,False,18479,199,975,871,669,669,669,40,15,1553,139,1261,1261,1256,349,349,349,0.9893457543634222,0.9498817723861417,0.9692122102171405
model:gliner25-fastino,alexen2,False,18356,307,1098,871,673,673,673,40,22,1553,247,1261,1261,1256,340,340,340,0.9835503402454053,0.9435591652102395,0.9631398063856023
model:gliner-urchade,alexen2,False,18451,154,1003,871,667,667,667,40,10,1553,110,1261,1261,1254,353,353,353,0.991722655200215,0.9484424796956924,0.9695998318400378
model:gliner25-fastino-ru,alexen2,False,18401,151,1053,871,674,674,674,40,14,1553,145,1261,1261,1253,342,342,342,0.9918607158257869,0.945872314177033,0.968320791453981
model:nuner-zero,alexen2,False,18481,1102,973,871,668,783,783,40,15,1553,175,1261,1261,1251,352,121,121,0.9437267017310933,0.949984579006888,0.9468453006122396
model:nym-base,alexen2,False,17202,251,2252,871,777,673,673,40,17,1553,201,1261,1261,1246,149,352,352,0.9856185183063084,0.8842397450395806,0.9321808870945891
model:gliner-nvidia,alexen2,False,18102,266,1352,871,683,685,685,40,10,1553,98,1261,1261,1243,334,329,329,0.9855182926829268,0.9305027243754498,0.9572206652212997
model:mmbert32k,alexen2,False,17934,205,1520,871,702,787,787,40,14,1553,126,1261,1261,1240,285,161,161,0.9886983846959589,0.9218669682327542,0.9541137977815018
model:gliner-nvidia-ru,alexen2,False,17691,158,1763,871,703,761,761,40,16,1553,134,1261,1261,1236,296,197,197,0.9911479634713429,0.9093759638120695,0.9485028013832668
model:traciora,alexen2,False,18024,823,1430,871,682,701,701,40,16,1553,191,1261,1261,1220,326,303,303,0.956332572823261,0.9264932661663411,0.9411764705882353
model:opf-ru,alexen2,False,17520,242,1934,871,704,722,722,40,19,1553,178,1261,1261,1207,296,265,265,0.9863754081747551,0.9005859977382543,0.941530524505589
model:pii-shield-onnx,alexen2,False,17646,211,1808,871,712,717,717,40,14,1553,146,1261,1261,1198,288,271,271,0.9881839054712438,0.9070628148452761,0.9458872718501246
model:pplx,alexen2,False,18223,2586,1231,871,424,478,478,40,7,1553,90,1261,1261,1195,701,622,622,0.8757268489595847,0.9367225249306055,0.9051983210391674
model:gliner-pii-base,alexen2,False,17672,282,1782,871,701,701,701,40,16,1553,165,1261,1261,1192,308,308,308,0.9842931937172775,0.9083993009149789,0.9448246364414029
model:ru-legal-ner,alexen2,False,16700,260,2754,871,720,740,740,40,11,1553,106,1261,1261,1187,300,280,280,0.9846698113207547,0.8584352832322402,0.9172296369528204
model:gliner2-large,alexen2,False,17153,566,2301,871,727,727,727,40,10,1553,102,1261,1261,1179,274,274,274,0.9680568880862351,0.8817209828312943,0.922874129072176
model:openmed-nemotron,alexen2,False,16779,1624,2675,871,781,766,766,40,18,1553,250,1261,1261,1177,141,207,207,0.9117535184480792,0.862496144751722,0.8864410809097394
model:bardsai-eu,alexen2,False,16549,285,2905,871,681,692,692,40,13,1553,178,1261,1261,1172,332,317,317,0.9830699774266366,0.8506733833658887,0.912092151675485
model:gliner-pii-edge,alexen2,False,17035,1181,2419,871,716,720,720,40,27,1553,283,1261,1261,1171,277,273,273,0.9351668862538428,0.8756553922072582,0.9044332359968145
model:apararti,alexen2,False,17502,404,1952,871,726,740,740,40,13,1553,174,1261,1261,1168,278,262,262,0.9774377303697085,0.8996607381515369,0.9369379014989292
model:opf-kz-ru,alexen2,False,17521,1033,1933,871,728,744,744,40,17,1553,209,1261,1261,1165,276,259,259,0.9443246739247602,0.9006374010486276,0.9219637970953483
model:opf-ru-v2,alexen2,False,17491,346,1963,871,724,742,742,40,11,1553,159,1261,1261,1161,294,258,258,0.9806021191904468,0.8990953017374319,0.9380815746426752
model:kalyan-ettin,alexen2,False,15604,650,3850,871,788,836,836,40,20,1553,193,1261,1261,1155,179,101,101,0.9600098437307739,0.802097255063226,0.8739778200963368
model:openmed-multilingual,alexen2,False,15948,248,3506,871,830,800,800,40,20,1553,144,1261,1261,1116,89,167,167,0.9846875771795505,0.8197799938316027,0.8946984572230012
model:openai-base,alexen2,False,16926,527,2528,871,753,769,769,40,10,1553,134,1261,1261,1108,263,247,247,0.9698046181172292,0.8700524313765806,0.9172243747798521
model:gliner-multi-v21,alexen2,False,14650,157,4804,871,670,670,670,40,10,1553,95,1261,1261,1104,340,340,340,0.9893969068683731,0.7530584969672047,0.8551997898485159
model:gliner2-hivetrace-uni,alexen2,False,15820,130,3634,871,712,712,712,40,7,1553,70,1261,1261,1101,275,275,275,0.9918495297805643,0.8132003701038347,0.8936843294542991
model:gravitee-small,alexen2,False,15764,9081,3690,871,769,787,787,40,24,1553,630,1261,1261,1083,236,207,207,0.6344938619440531,0.8103217847229361,0.7117090679247838
model:gliner-stream-pii,alexen2,False,15390,432,4064,871,703,705,705,40,38,1553,326,1261,1261,1071,279,276,276,0.9726962457337884,0.7910969466433638,0.8725479079260688
model:gliner-multi-v21-ru,alexen2,False,13904,120,5550,871,673,673,673,40,6,1553,54,1261,1261,1060,337,337,337,0.9914432401597262,0.7147116274288065,0.8306350439094331
model:fef2-secret-ru,alexen2,False,13490,220,5964,871,693,702,702,40,16,1553,137,1261,1261,926,280,267,267,0.9839533187454412,0.6934306569343066,0.8135327463514654
model:gliner-urchade-ru,alexen2,False,13695,59,5759,871,816,816,816,40,3,1553,31,1261,1261,908,114,114,114,0.9957103388105278,0.7039683355608101,0.8248012527101903
model:ner-ru-yqelz,alexen2,False,8623,1311,10831,871,640,643,643,40,20,1553,289,1261,1261,706,329,326,326,0.8680289913428629,0.4432507453480004,0.586838165237512
model:rules-ru,alexen2,False,11246,0,8208,871,863,863,863,40,0,1553,0,1261,1261,690,59,59,59,1.0,0.5780816284568726,0.7326384364820847
model:ner-ru-gherman,alexen2,False,7960,163,11494,871,811,822,822,40,15,1553,148,1261,1261,658,60,49,49,0.9799335220977471,0.40917035057057677,0.5772926714290895
model:stanza-ru,alexen2,False,8822,1152,10632,871,700,700,700,40,18,1553,232,1261,1261,645,269,269,269,0.8844996992179667,0.45348000411226486,0.5995650400978659
model:spacy-ru-lg,alexen2,False,7794,270,11660,871,689,692,692,40,15,1553,163,1261,1261,589,284,279,279,0.9665178571428571,0.40063740104862755,0.5664655861617851
model:davlan-xlmr,alexen2,False,7544,171,11910,871,687,703,703,40,12,1553,171,1261,1261,575,282,261,261,0.9778353856124433,0.3877865734553305,0.5553388052559903
model:davlan-mbert,alexen2,False,7496,186,11958,871,706,723,723,40,13,1553,156,1261,1261,566,263,239,239,0.9757875553241343,0.3853192145574175,0.5524764150943396
model:natasha,alexen2,False,7032,554,12422,871,700,708,708,40,15,1553,207,1261,1261,531,268,260,260,0.9269707355655155,0.3614680785442583,0.5201183431952663
model:spacy-alrosait,alexen2,False,6624,216,12830,871,738,738,738,40,13,1553,183,1261,1261,482,231,231,231,0.968421052631579,0.34049552791199755,0.5038411804974519
model:gliner2-hivetrace-uni-ru,alexen2,False,2651,56,16803,871,830,830,830,40,0,1553,0,1261,1261,205,65,65,65,0.9793128925009236,0.13627017579932146,0.23924913135688822
composition:pplx,alexen2,False,18223,2586,1231,871,424,478,478,40,7,1553,90,1261,1261,1195,701,622,622,0.8757268489595847,0.9367225249306055,0.9051983210391674
composition:fastino,alexen2,False,18468,198,986,871,667,667,667,40,14,1553,130,1261,1261,1258,350,350,350,0.9893924783027965,0.9493163359720366,0.9689401888772299
composition:pplx+fastino,alexen2,False,18962,2763,492,871,347,347,347,40,19,1553,199,1261,1261,1260,779,779,779,0.8728193325661681,0.9747095712963915,0.920954855630297
composition:pplx+fastino+mmbert,alexen2,False,18970,2872,484,871,346,347,347,40,25,1553,263,1261,1261,1260,780,779,779,0.8685102096877575,0.975120797779377,0.9187330492057343
composition:pplx+fastino+bardsai,alexen2,False,18997,2965,457,871,327,327,327,40,23,1553,294,1261,1261,1260,807,807,807,0.8649940806848192,0.976508687159453,0.9173749275642263
composition:pplx+fastino+bardsai+mmbert,alexen2,False,18997,3035,457,871,327,327,327,40,25,1553,319,1261,1261,1260,807,807,807,0.8622458242556281,0.976508687159453,0.9158270259846695
"composition:vote2(pplx,opf2,nvidia)",alexen2,False,18343,168,1111,871,693,716,716,40,8,1553,91,1261,1261,1233,333,308,308,0.9909243152720004,0.9428909221753881,0.9663110759910444
model:spacy-alrosait,alrosait,True,43375,103,24,1160,3,3,3,340,3,56341,51,1862,1862,1861,1859,1859,1859,0.9976309857859147,0.999446991866172,0.9985381631502007
model:gliner25-fastino,alrosait,False,40895,7707,2504,1160,216,224,224,340,282,56341,6070,1862,1862,1854,1621,1613,1613,0.8414262787539607,0.942302818037282,0.8890120759556961
model:gliner-multi-v21,alrosait,False,37708,9605,5691,1160,475,543,543,340,275,56341,6096,1862,1862,1853,1334,1258,1258,0.7969902563777397,0.868867946266043,0.8313784284328424
model:pplx,alrosait,False,43044,5368,355,1160,59,105,105,340,122,56341,2286,1862,1862,1852,1800,1752,1752,0.8891184003965958,0.9918200880204613,0.9376654213547396
model:nym-base,alrosait,False,39022,3301,4377,1160,1033,568,568,340,168,56341,2465,1862,1862,1850,339,1204,1204,0.9220045837960447,0.8991451415931243,0.9104313945078276
model:nuner-zero,alrosait,False,40640,9027,2759,1160,359,1129,1129,340,254,56341,5735,1862,1862,1850,1451,73,73,0.8182495419493829,0.9364271066153598,0.8733586916811724
model:gliner-multi-v21-ru,alrosait,False,37801,6240,5598,1160,489,556,556,340,199,56341,3834,1862,1862,1847,1320,1244,1244,0.8583138439181671,0.8710108527846264,0.864615736505032
model:gliner25-fastino-ru,alrosait,False,40742,4105,2657,1160,223,228,228,340,181,56341,3418,1862,1862,1844,1613,1608,1608,0.9084665640957031,0.9387773911841286,0.923373297373252
model:ner-ru-yqelz,alrosait,False,29918,3480,13481,1160,731,745,745,340,171,56341,2440,1862,1862,1842,1024,986,986,0.8958021438409486,0.6893707228277149,0.7791450186856258
model:opf-ru,alrosait,False,34884,4941,8515,1160,802,920,920,340,210,56341,3049,1862,1862,1840,849,651,651,0.8759322033898305,0.8037973225189521,0.8383158704219936
model:mmbert32k,alrosait,False,33628,2764,9771,1160,826,1046,1046,340,134,56341,1840,1862,1862,1829,819,369,369,0.9240492415915585,0.7748565635152884,0.8429020816884111
model:davlan-xlmr,alrosait,False,36116,2303,7283,1160,720,757,757,340,120,56341,1971,1862,1862,1827,1045,960,960,0.9400557016059762,0.8321850733887878,0.8828375174167054
model:gliner2-vladlinv,alrosait,False,40899,1152,2500,1160,143,168,168,340,55,56341,895,1862,1862,1809,1689,1660,1660,0.9726046942997788,0.9423949860595866,0.9572615564657694
model:bardsai-eu,alrosait,False,38774,4297,4625,1160,555,613,613,340,180,56341,3001,1862,1862,1808,1228,1146,1146,0.900234496528987,0.8934307242102353,0.8968197062565052
model:gliner2-vladlinv-ru,alrosait,False,40829,974,2570,1160,144,170,170,340,52,56341,786,1862,1862,1805,1685,1655,1655,0.9767002368251082,0.940782045669255,0.9584047322832797
model:fef2-secret-ru,alrosait,False,31622,3097,11777,1160,717,770,770,340,133,56341,2408,1862,1862,1798,1031,932,932,0.9107981220657277,0.7286343003295007,0.8095957397782841
model:davlan-mbert,alrosait,False,32713,2731,10686,1160,759,831,831,340,140,56341,2239,1862,1862,1795,980,816,816,0.9229488771019072,0.7537731284130971,0.8298263637862587
model:ru-legal-ner,alrosait,False,38359,4763,5040,1160,457,529,529,340,141,56341,2173,1862,1862,1793,1349,1264,1264,0.8895459394276704,0.8838682918961266,0.886698027068573
model:ner-ru-gherman,alrosait,False,32493,1604,10906,1160,1148,1150,1150,340,132,56341,1412,1862,1862,1791,33,26,26,0.9529577382174385,0.7487038871863407,0.8385723134097244
model:ru-pii-ner,alrosait,False,41415,2225,1984,1160,89,90,90,340,72,56341,1254,1862,1862,1787,1754,1753,1753,0.9490146654445463,0.9542846609368879,0.9516423672146969
model:stanza-ru,alrosait,False,30946,6982,12453,1160,742,766,766,340,232,56341,3518,1862,1862,1784,1021,987,987,0.8159143640582156,0.713057904560013,0.7610264733729266
model:gliner-urchade,alrosait,False,36982,6677,6417,1160,164,164,164,340,244,56341,4654,1862,1862,1721,1681,1681,1681,0.8470647518266566,0.852139450217747,0.8495945231914356
model:traciora,alrosait,False,38758,7460,4641,1160,379,443,443,340,177,56341,3894,1862,1862,1718,1430,1351,1351,0.8385910251417197,0.8930620521210166,0.8649698159947331
model:apararti,alrosait,False,36484,6495,6915,1160,496,576,576,340,157,56341,3521,1862,1862,1669,1269,1163,1163,0.848879685427767,0.8406645314408167,0.8447521359605455
model:openmed-nemotron,alrosait,False,28208,15791,15191,1160,1045,1000,1000,340,251,56341,5121,1862,1862,1669,311,454,454,0.6411054796699925,0.6499688932924722,0.6455067621684707
model:gliner2-hivetrace-omni-ru,alrosait,False,32568,6112,10831,1160,354,354,354,340,239,56341,4532,1862,1862,1667,1468,1468,1468,0.8419855222337125,0.7504320376045531,0.793576919796781
model:gliner2-hivetrace-omni,alrosait,False,32496,7244,10903,1160,356,356,356,340,276,56341,5531,1862,1862,1664,1467,1467,1467,0.8177151484650227,0.7487730132030692,0.781726987334464
model:opf-ru-v2,alrosait,False,36449,3606,6950,1160,490,558,558,340,99,56341,1925,1862,1862,1659,1286,1200,1200,0.9099737860441892,0.8398580612456508,0.8735111558463344
model:gliner2-large,alrosait,False,30176,10172,13223,1160,707,721,721,340,288,56341,6163,1862,1862,1637,953,930,930,0.7478933280459998,0.6953155602663655,0.7206467097328859
model:gliner2-fastino,alrosait,False,31759,8698,11640,1160,362,366,366,340,278,56341,6397,1862,1862,1634,1461,1457,1457,0.785006302988358,0.7317910550934353,0.7574651784010684
model:pii-shield-onnx,alrosait,False,32906,2796,10493,1160,701,744,744,340,117,56341,2001,1862,1862,1629,982,907,907,0.9216850596605232,0.758220235489297,0.8319995954539133
model:openai-base,alrosait,False,37137,6842,6262,1160,408,429,429,340,118,56341,3037,1862,1862,1623,1375,1347,1347,0.8444257486527661,0.8557109610820526,0.8500309002266017
model:gliner2-fastino-ru,alrosait,False,31462,3275,11937,1160,365,368,368,340,163,56341,2949,1862,1862,1614,1457,1454,1454,0.905720125514581,0.7249475794373142,0.8053138118152964
model:gliner-nvidia,alrosait,False,31056,6939,12343,1160,439,455,455,340,215,56341,4490,1862,1862,1600,1348,1322,1322,0.8173707066719306,0.7155925251733911,0.7631029314200064
model:spacy-ru-lg,alrosait,False,24967,2291,18432,1160,809,863,863,340,125,56341,1542,1862,1862,1595,895,764,764,0.9159512803580601,0.5752897532201203,0.7067098801251116
model:opf-kz-ru,alrosait,False,30616,4446,12783,1160,818,887,887,340,135,56341,2292,1862,1862,1582,820,693,693,0.8731960527066339,0.7054540427198783,0.7804131989141102
model:gliner-nvidia-ru,alrosait,False,27990,3282,15409,1160,610,730,730,340,121,56341,2161,1862,1862,1545,1128,961,961,0.8950498848810438,0.6449457360768681,0.7496886341417686
model:openmed-multilingual,alrosait,False,21270,6106,22129,1160,1121,1087,1087,340,222,56341,3021,1862,1862,1499,163,230,230,0.776957919345412,0.49010345860503696,0.6010596962204169
model:natasha,alrosait,False,23223,2041,20176,1160,800,826,826,340,109,56341,1387,1862,1862,1473,932,875,875,0.9192131095630146,0.5351044954952879,0.6764341785240959
model:gliner-stream-pii,alrosait,False,25550,4364,17849,1160,786,812,812,340,263,56341,3514,1862,1862,1441,840,794,794,0.8541151300394464,0.5887232424710247,0.6970114440822228
model:kalyan-ettin,alrosait,False,20061,5091,23338,1160,1042,1118,1118,340,183,56341,2561,1862,1862,1393,371,155,155,0.7975906488549618,0.46224567386345305,0.5852868667123746
model:gliner2-hivetrace-uni,alrosait,False,23983,1206,19416,1160,677,678,678,340,84,56341,936,1862,1862,1360,1032,1031,1031,0.9521219579975386,0.5526164197331735,0.6993351606695049
model:gliner-pii-edge,alrosait,False,23965,6774,19434,1160,738,745,745,340,247,56341,3179,1862,1862,1354,938,925,925,0.7796284849864993,0.5522016636328027,0.6464970730259787
model:gravitee-small,alrosait,False,29640,16071,13759,1160,751,842,842,340,150,56341,3159,1862,1862,1231,855,701,701,0.6484216053028812,0.682965045277541,0.6652452025586354
model:gliner-pii-base,alrosait,False,20712,2471,22687,1160,743,743,743,340,170,56341,1901,1862,1862,1218,951,951,951,0.8934132769701937,0.47724601949353673,0.6221501306659458
model:gliner-urchade-ru,alrosait,False,21597,2002,21802,1160,773,773,773,340,97,56341,1685,1862,1862,888,870,870,870,0.9151658968600365,0.49763819442844304,0.6447058121137945
model:gliner2-hivetrace-uni-ru,alrosait,False,9636,773,33763,1160,973,973,973,340,50,56341,690,1862,1862,604,527,527,527,0.9257373426842156,0.22203276573192932,0.3581623550401427
model:betterleaks,alrosait,False,0,0,43399,1160,1160,1160,1160,340,0,56341,0,1862,1862,0,0,0,0,0,0.0,0
model:gitleaks,alrosait,False,0,0,43399,1160,1160,1160,1160,340,0,56341,0,1862,1862,0,0,0,0,0,0.0,0
model:rules-ru,alrosait,False,0,1948,43399,1160,1160,1160,1160,340,55,56341,1387,1862,1862,0,0,0,0,0.0,0.0,0
composition:pplx,alrosait,False,43044,5368,355,1160,59,105,105,340,122,56341,2286,1862,1862,1852,1800,1752,1752,0.8891184003965958,0.9918200880204613,0.9376654213547396
composition:fastino,alrosait,False,31759,8698,11640,1160,362,366,366,340,278,56341,6397,1862,1862,1634,1461,1457,1457,0.785006302988358,0.7317910550934353,0.7574651784010684
composition:pplx+fastino,alrosait,False,43248,12503,151,1160,37,47,47,340,297,56341,7289,1862,1862,1860,1824,1814,1814,0.7757349643952575,0.996520657157999,0.8723751891074131
composition:pplx+fastino+mmbert,alrosait,False,43290,12939,109,1160,36,45,45,340,308,56341,7483,1862,1862,1861,1825,1816,1816,0.7698874246385318,0.997488421392198,0.8690328020235275
composition:pplx+fastino+bardsai,alrosait,False,43290,13511,109,1160,32,35,35,340,309,56341,7755,1862,1862,1861,1829,1826,1826,0.7621344694635658,0.997488421392198,0.8640718562874252
composition:pplx+fastino+bardsai+mmbert,alrosait,False,43296,13785,103,1160,32,32,32,340,309,56341,7796,1862,1862,1861,1829,1829,1829,0.7585010774163031,0.9976266734256549,0.8617834394904457
"composition:vote2(pplx,opf2,nvidia)",alrosait,False,41661,2941,1738,1160,187,222,222,340,105,56341,1903,1862,1862,1845,1658,1619,1619,0.9340612528586162,0.9599529943086246,0.9468301496573903
model:pplx+cpu-int8,ameau01,False,26043,26314,1748,750,107,113,113,702,284,112531,7854,2242,2242,2137,2118,2110,2110,0.49741199839563,0.9371019394768091,0.649872735439437
model:gliner2-hivetrace-omni,ameau01,False,26662,16021,1129,750,95,96,96,702,351,112531,7296,2242,2242,2122,2121,2120,2120,0.6246515005974276,0.9593753373394265,0.7566478417572439
model:gliner2-fastino,ameau01,False,25252,12935,2539,750,138,139,139,702,241,112531,4923,2242,2242,2082,2081,2080,2080,0.6612721606829549,0.9086394876039006,0.7654672769711115
model:nuner-zero,ameau01,False,22552,17126,5239,750,282,467,467,702,332,112531,7518,2242,2242,1895,1891,1508,1508,0.5683754221482937,0.8114857327911914,0.6685144288488045
model:gliner-stream-pii,ameau01,False,21901,12888,5890,750,304,304,304,702,536,112531,7561,2242,2242,1889,1844,1844,1844,0.6295380723792003,0.7880608830196826,0.6999360818152763
model:gliner-nvidia,ameau01,False,21132,12691,6659,750,301,303,303,702,251,112531,5814,2242,2242,1877,1858,1852,1852,0.6247819531088312,0.760390054334137,0.6859479988314343
model:pplx,ameau01,False,21809,13802,5982,750,328,333,333,702,173,112531,4242,2242,2242,1849,1830,1817,1817,0.6124231276852657,0.78475045878162,0.6879593703668654
model:gliner-urchade,ameau01,False,20898,12583,6893,750,352,352,352,702,288,112531,5785,2242,2242,1750,1730,1729,1729,0.6241749051700964,0.7519700622503688,0.68213866039953
model:mmbert32k,ameau01,False,18706,16214,9085,750,589,661,661,702,315,112531,5162,2242,2242,1744,1167,859,859,0.5356815578465063,0.6730956064913102,0.5965779528312417
model:gliner2-large,ameau01,False,20134,15993,7657,750,400,401,401,702,341,112531,6789,2242,2242,1709,1707,1706,1706,0.5573117059263155,0.7244791479255874,0.6299946806846273
model:gliner-pii-base,ameau01,False,21069,11337,6722,750,373,373,373,702,303,112531,5334,2242,2242,1698,1697,1697,1697,0.6501573782632846,0.7581231333885071,0.7000016612123529
model:gliner-pii-edge,ameau01,False,18764,8880,9027,750,416,416,416,702,328,112531,4279,2242,2242,1627,1620,1620,1620,0.6787729706265374,0.6751826130761758,0.6769730314783079
model:gliner25-fastino,ameau01,False,19196,10419,8595,750,440,440,440,702,122,112531,3093,2242,2242,1626,1625,1624,1624,0.6481850413641735,0.6907272138462092,0.6687802668710587
model:openmed-multilingual,ameau01,False,16830,14424,10961,750,609,559,559,702,347,112531,4920,2242,2242,1608,1179,1409,1409,0.5384910731426378,0.6055917383325538,0.570073672622576
model:kalyan-ettin,ameau01,False,14796,9025,12995,750,639,628,628,702,219,112531,2965,2242,2242,1531,1024,1101,1101,0.6211326140800134,0.5324025763736462,0.5733550337130899
model:gliner-multi-v21,ameau01,False,15949,8504,11842,750,533,533,533,702,177,112531,2828,2242,2242,1449,1390,1389,1389,0.652230810125547,0.5738908279658882,0.6105581502182067
model:openmed-nemotron,ameau01,False,14713,11757,13078,750,649,612,612,702,231,112531,3594,2242,2242,1431,964,1223,1223,0.5558367963732528,0.5294159979849592,0.5423047861263155
model:nym-base,ameau01,False,14092,7364,13699,750,648,562,562,702,135,112531,1995,2242,2242,1414,1010,1355,1355,0.656785980611484,0.507070634378036,0.5722988202327045
model:opf-ru,ameau01,False,13412,10556,14379,750,616,637,637,702,196,112531,3661,2242,2242,1349,1126,1017,1017,0.5595794392523364,0.4826022813140945,0.5182480341583106
model:apararti,ameau01,False,15023,15321,12768,750,599,618,618,702,162,112531,4454,2242,2242,1344,1295,1222,1222,0.4950896388083311,0.5405706883523442,0.5168315128580029
model:pii-shield-onnx,ameau01,False,18640,21411,9151,750,590,618,618,702,291,112531,7823,2242,2242,1319,1049,868,868,0.4654066065766148,0.6707207369292217,0.5495121016479467
model:nym-base+cpu-int8,ameau01,False,13239,6932,14552,750,660,607,607,702,126,112531,1791,2242,2242,1304,887,1202,1202,0.6563383074711219,0.4763772444316505,0.5520620491222217
model:nym-small,ameau01,False,12820,7050,14971,750,684,613,613,702,142,112531,2077,2242,2242,1248,861,1208,1208,0.6451937594363362,0.46130042099960417,0.5379660519082688
model:openai-base,ameau01,False,13590,10103,14201,750,607,616,616,702,94,112531,2902,2242,2242,1234,1204,1169,1169,0.5735871354408475,0.4890072325573027,0.5279310076917101
model:bardsai-eu,ameau01,False,13595,11097,14196,750,628,661,661,702,224,112531,3677,2242,2242,1229,1002,863,863,0.5505831848371943,0.489187146918067,0.5180725187203474
model:mmbert32k+cpu-int8,ameau01,False,10086,10781,17705,750,714,737,737,702,335,112531,3834,2242,2242,1209,436,261,261,0.48334691139119185,0.36292324853369795,0.41456697768095685
model:opf-kz-ru,ameau01,False,13465,14255,14326,750,628,636,636,702,160,112531,4547,2242,2242,1206,1139,1065,1065,0.48575036075036077,0.48450937353819584,0.4851290735169606
model:stanza-ru,ameau01,False,13982,62057,13809,750,671,707,707,702,684,112531,18739,2242,2242,1153,846,671,671,0.183879325083181,0.503112518441222,0.2693248579408649
model:traciora,ameau01,False,12164,4295,15627,750,639,660,660,702,96,112531,1448,2242,2242,1112,1004,909,909,0.7390485448690686,0.43769565686733114,0.5497853107344632
model:gravitee-small,ameau01,False,12473,7681,15318,750,645,692,692,702,130,112531,2036,2242,2242,1070,1046,752,752,0.618884588667262,0.44881436436256344,0.5203045155907811
model:gravitee-small+cpu-int8,ameau01,False,12452,7420,15339,750,638,696,696,702,127,112531,1962,2242,2242,1069,1048,753,753,0.626610305958132,0.4480587240473535,0.5225017309023772
model:opf-ru-v2,ameau01,False,11833,3284,15958,750,656,671,671,702,90,112531,1129,2242,2242,1022,953,888,888,0.782761129853807,0.4257853261847361,0.5515521581057146
model:ru-pii-ner,ameau01,False,12622,3830,15169,750,634,634,634,702,102,112531,1229,2242,2242,1003,997,997,997,0.7672015560418186,0.45417581231333887,0.5705761363379518
model:ner-ru-yqelz,ameau01,False,10653,32183,17138,750,633,651,651,702,686,112531,14496,2242,2242,957,869,788,788,0.2486926883929405,0.3833255370443669,0.30166933325781925
model:gliner2-hivetrace-uni,ameau01,False,10809,1879,16982,750,644,644,644,702,65,112531,919,2242,2242,931,929,928,928,0.8519073139974779,0.3889388651002123,0.534054695027051
model:gliner2-vladlinv,ameau01,False,10125,514,17666,750,650,650,650,702,7,112531,52,2242,2242,878,877,876,876,0.9516871886455494,0.3643265805476593,0.5269320843091335
model:davlan-xlmr,ameau01,False,7932,8628,19859,750,676,692,692,702,254,112531,3139,2242,2242,794,768,700,700,0.4789855072463768,0.28541614191644776,0.3576920475299317
model:davlan-mbert,ameau01,False,7782,11182,20009,750,698,703,703,702,289,112531,3913,2242,2242,757,654,608,608,0.41035646488082683,0.2800187110935195,0.33288418350978505
model:ru-legal-ner+cpu-int8,ameau01,False,6743,6163,21048,750,711,731,731,702,184,112531,2143,2242,2242,719,384,220,220,0.5224701689136836,0.24263250692670288,0.331375777084306
model:ru-legal-ner,ameau01,False,6499,5959,21292,750,716,734,734,702,180,112531,2106,2242,2242,690,367,204,204,0.5216728206774763,0.23385268612140622,0.3229397003652265
model:davlan-mbert+cpu-int8,ameau01,False,7021,8714,20770,750,702,710,710,702,245,112531,3231,2242,2242,684,593,563,563,0.44620273276136,0.2526357453851966,0.3226117722740431
model:ner-ru-gherman,ameau01,False,6599,535,21192,750,737,738,738,702,16,112531,82,2242,2242,668,235,207,207,0.9250070086907766,0.23745097333669174,0.3778954903364352
model:ner-ru-gherman-onnx,ameau01,False,6527,513,21264,750,735,738,738,702,14,112531,71,2242,2242,657,230,205,205,0.9271306818181818,0.23486020654168616,0.3747810858143608
model:ner-ru-gherman+cpu-int8,ameau01,False,6238,489,21553,750,738,738,738,702,12,112531,55,2242,2242,625,207,183,183,0.9273078638323176,0.22446115648951098,0.3614346138246712
model:davlan-xlmr+cpu-int8,ameau01,False,4881,2852,22910,750,729,732,732,702,113,112531,1145,2242,2242,470,420,344,344,0.6311909996120523,0.17563239897808644,0.27480013511991896
model:rules-ru,ameau01,False,5218,9190,22573,750,732,732,732,702,126,112531,4138,2242,2242,366,366,366,366,0.3621599111604664,0.18775862689359865,0.24730443849380315
