composition,members,votes,dataset,lang,kind,status,missed,gold_spans
gitleaks+pplx,gitleaks + pplx,1,ameau01,en,pii,missing,,2242
gitleaks+pplx,gitleaks + pplx,1,arthur-passwords,en,secrets,missing,,280
gitleaks+pplx,gitleaks + pplx,1,corrupt-hivetrace,ru,pii,missing,,1667
gitleaks+pplx,gitleaks + pplx,1,corrupt-redmadrobot,ru,pii,missing,,5531
gitleaks+pplx,gitleaks + pplx,1,corrupt-secrets-issues,en,secrets,missing,,288
gitleaks+pplx,gitleaks + pplx,1,creddata,en,secrets,missing,,776
gitleaks+pplx,gitleaks + pplx,1,dialogpii-en,en,pii,missing,,3087
gitleaks+pplx,gitleaks + pplx,1,dialogpii-multi,multi,pii,missing,,10345
gitleaks+pplx,gitleaks + pplx,1,factrueval,ru,pii,missing,,7966
gitleaks+pplx,gitleaks + pplx,1,gretel-multi,multi,pii,missing,,4484
gitleaks+pplx,gitleaks + pplx,1,hivetrace,ru,pii,ok,45,1667
gitleaks+pplx,gitleaks + pplx,1,jayguard,ru,pii,ok,197,1195
gitleaks+pplx,gitleaks + pplx,1,kiji-en,en,pii,missing,,7623
gitleaks+pplx,gitleaks + pplx,1,kiji-multi,multi,pii,missing,,7565
gitleaks+pplx,gitleaks + pplx,1,leak-museum,en,secrets,missing,,101
gitleaks+pplx,gitleaks + pplx,1,leaky-repo,en,secrets,ok,7,95
gitleaks+pplx,gitleaks + pplx,1,multiconer-ru,ru,pii,missing,,1208
gitleaks+pplx,gitleaks + pplx,1,nemotron-pii,en,pii,missing,,9391
gitleaks+pplx,gitleaks + pplx,1,nerel,ru,pii,missing,,24369
gitleaks+pplx,gitleaks + pplx,1,nym-en,en,pii,missing,,3584
gitleaks+pplx,gitleaks + pplx,1,nym-multi,multi,pii,missing,,8169
gitleaks+pplx,gitleaks + pplx,1,nym-ru,ru,pii,ok,374,9497
gitleaks+pplx,gitleaks + pplx,1,privy,en,pii,missing,,1899
gitleaks+pplx,gitleaks + pplx,1,redact-multi,multi,pii,missing,,22864
gitleaks+pplx,gitleaks + pplx,1,redact-ru,ru,pii,missing,,9230
gitleaks+pplx,gitleaks + pplx,1,redmadrobot,ru,pii,ok,775,5516
gitleaks+pplx,gitleaks + pplx,1,rubai-ru,ru,pii,missing,,3458
gitleaks+pplx,gitleaks + pplx,1,russian-pii-66k,ru,pii,ok,11,4805
gitleaks+pplx,gitleaks + pplx,1,scanpatch,ru,pii,ok,1084,8708
gitleaks+pplx,gitleaks + pplx,1,secrets-issues,en,secrets,ok,7,288
gitleaks+pplx,gitleaks + pplx,1,secrets-rules,en,secrets,train,,746
gitleaks+pplx,gitleaks + pplx,1,synth-env-configs,en,secrets,missing,,392
gitleaks+pplx,gitleaks + pplx,1,synth-jira-comments,ru,pii,missing,,2705
gitleaks+pplx,gitleaks + pplx,1,synth-ru-tickets,ru,pii,missing,,32099
gitleaks+pplx,gitleaks + pplx,1,synth-secrets-en,en,secrets,missing,,581
gitleaks+pplx,gitleaks + pplx,1,synth-secrets-ru,ru,secrets,missing,,581
gitleaks+pplx,gitleaks + pplx,1,synth-wiki-tables,ru,pii,missing,,13094
gitleaks+pplx,gitleaks + pplx,1,tab-echr,en,pii,missing,,3830
gitleaks+pplx,gitleaks + pplx,1,tonicai,en,pii,missing,,2417
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,alexen2,ru,pii,missing,,1261
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,alrosait,ru,pii,ok,2,1862
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,ameau01,en,pii,missing,,2242
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,arthur-passwords,en,secrets,missing,,280
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,corrupt-hivetrace,ru,pii,missing,,1667
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,corrupt-redmadrobot,ru,pii,missing,,5531
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,corrupt-secrets-issues,en,secrets,missing,,288
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,creddata,en,secrets,missing,,776
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,dialogpii-en,en,pii,missing,,3087
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,dialogpii-multi,multi,pii,missing,,10345
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,factrueval,ru,pii,missing,,7966
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,gretel-multi,multi,pii,missing,,4484
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,hivetrace,ru,pii,ok,12,1667
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,jayguard,ru,pii,ok,113,1195
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,kiji-en,en,pii,missing,,7623
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,kiji-multi,multi,pii,missing,,7565
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,leak-museum,en,secrets,missing,,101
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,leaky-repo,en,secrets,ok,2,95
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,multiconer-ru,ru,pii,missing,,1208
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,nemotron-pii,en,pii,train,,9391
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,nerel,ru,pii,missing,,24369
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,nym-en,en,pii,missing,,3584
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,nym-multi,multi,pii,missing,,8169
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,nym-ru,ru,pii,ok,53,9497
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,privy,en,pii,missing,,1899
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,redact-multi,multi,pii,missing,,22864
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,redact-ru,ru,pii,missing,,9230
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,redmadrobot,ru,pii,ok,134,5516
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,rubai-ru,ru,pii,missing,,3458
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,russian-pii-66k,ru,pii,ok,0,4805
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,scanpatch,ru,pii,ok,401,8708
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,secrets-issues,en,secrets,ok,5,288
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,secrets-rules,en,secrets,train,,746
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,synth-env-configs,en,secrets,missing,,392
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,synth-jira-comments,ru,pii,missing,,2705
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,synth-ru-tickets,ru,pii,missing,,32099
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,synth-secrets-en,en,secrets,missing,,581
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,synth-secrets-ru,ru,secrets,missing,,581
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,synth-wiki-tables,ru,pii,missing,,13094
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,tab-echr,en,pii,missing,,3830
gitleaks+pplx+nvidia,gitleaks + pplx + gliner-nvidia,1,tonicai,en,pii,missing,,2417
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,alexen2,ru,pii,missing,,1261
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,alrosait,ru,pii,ok,1,1862
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,ameau01,en,pii,missing,,2242
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,arthur-passwords,en,secrets,missing,,280
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,corrupt-hivetrace,ru,pii,missing,,1667
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,corrupt-redmadrobot,ru,pii,missing,,5531
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,corrupt-secrets-issues,en,secrets,missing,,288
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,creddata,en,secrets,missing,,776
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,dialogpii-en,en,pii,missing,,3087
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,dialogpii-multi,multi,pii,missing,,10345
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,factrueval,ru,pii,missing,,7966
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,gretel-multi,multi,pii,missing,,4484
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,hivetrace,ru,pii,ok,12,1667
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,jayguard,ru,pii,ok,91,1195
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,kiji-en,en,pii,missing,,7623
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,kiji-multi,multi,pii,missing,,7565
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,leak-museum,en,secrets,missing,,101
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,leaky-repo,en,secrets,ok,1,95
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,multiconer-ru,ru,pii,missing,,1208
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,nemotron-pii,en,pii,train,,9391
gitleaks+pplx+nvidia+legal,gitleaks + pplx + gliner-nvidia + ru-legal-ner,1,nerel,ru,pii,missing,,24369
