system,dataset,train,category,gold,original_gold,characters,hit,hidden,raw_hidden,original_hidden,covered_characters
model:gliner-multi-v21-ru,alexen2,False,contacts,690,690,11877,497,49,49,49,6645
model:gliner-multi-v21-ru,alexen2,False,names,571,571,7577,563,288,288,288,7259
model:fef2-secret-ru,alexen2,False,contacts,690,690,11877,377,9,8,8,6370
model:fef2-secret-ru,alexen2,False,names,571,571,7577,549,271,259,259,7120
model:gliner-urchade-ru,alexen2,False,contacts,690,690,11877,682,59,59,59,11131
model:gliner-urchade-ru,alexen2,False,names,571,571,7577,226,55,55,55,2564
model:ner-ru-yqelz,alexen2,False,contacts,690,690,11877,136,15,14,14,1308
model:ner-ru-yqelz,alexen2,False,names,571,571,7577,570,314,312,312,7315
model:rules-ru,alexen2,False,contacts,690,690,11877,690,59,59,59,11246
model:rules-ru,alexen2,False,names,571,571,7577,0,0,0,0,0
model:ner-ru-gherman,alexen2,False,contacts,690,690,11877,126,0,0,0,1454
model:ner-ru-gherman,alexen2,False,names,571,571,7577,532,60,49,49,6506
model:stanza-ru,alexen2,False,contacts,690,690,11877,104,0,0,0,1700
model:stanza-ru,alexen2,False,names,571,571,7577,541,269,269,269,7122
model:spacy-ru-lg,alexen2,False,contacts,690,690,11877,35,4,4,4,677
model:spacy-ru-lg,alexen2,False,names,571,571,7577,554,280,275,275,7117
model:davlan-xlmr,alexen2,False,contacts,690,690,11877,25,0,0,0,365
model:davlan-xlmr,alexen2,False,names,571,571,7577,550,282,261,261,7179
model:davlan-mbert,alexen2,False,contacts,690,690,11877,29,0,0,0,408
model:davlan-mbert,alexen2,False,names,571,571,7577,537,263,239,239,7088
model:natasha,alexen2,False,contacts,690,690,11877,0,0,0,0,0
model:natasha,alexen2,False,names,571,571,7577,531,268,260,260,7032
model:spacy-alrosait,alexen2,False,contacts,690,690,11877,0,0,0,0,0
model:spacy-alrosait,alexen2,False,names,571,571,7577,482,231,231,231,6624
model:gliner2-hivetrace-uni-ru,alexen2,False,contacts,690,690,11877,63,11,11,11,910
model:gliner2-hivetrace-uni-ru,alexen2,False,names,571,571,7577,142,54,54,54,1741
composition:pplx,alexen2,False,contacts,690,690,11877,690,412,388,388,11599
composition:pplx,alexen2,False,names,571,571,7577,505,289,234,234,6624
composition:fastino,alexen2,False,contacts,690,690,11877,690,56,56,56,11186
composition:fastino,alexen2,False,names,571,571,7577,568,294,294,294,7282
composition:pplx+fastino,alexen2,False,contacts,690,690,11877,690,412,412,412,11599
composition:pplx+fastino,alexen2,False,names,571,571,7577,570,367,367,367,7363
composition:pplx+fastino+mmbert,alexen2,False,contacts,690,690,11877,690,412,412,412,11599
composition:pplx+fastino+mmbert,alexen2,False,names,571,571,7577,570,368,367,367,7371
composition:pplx+fastino+bardsai,alexen2,False,contacts,690,690,11877,690,439,439,439,11626
composition:pplx+fastino+bardsai,alexen2,False,names,571,571,7577,570,368,368,368,7371
composition:pplx+fastino+bardsai+mmbert,alexen2,False,contacts,690,690,11877,690,439,439,439,11626
