system,dataset,train,category,gold,original_gold,characters,hit,hidden,raw_hidden,original_hidden,covered_characters
model:mmbert32k,corrupt-redmadrobot,False,network,361,361,10058,328,99,62,62,5171
model:ru-pii-ner,corrupt-redmadrobot,False,identity,2076,2140,22706,1850,1737,1679,1796,19658
model:ru-pii-ner,corrupt-redmadrobot,False,addresses,1242,1252,14252,660,615,603,616,7893
model:ru-pii-ner,corrupt-redmadrobot,False,financial,203,203,4184,179,146,142,143,3208
model:ru-pii-ner,corrupt-redmadrobot,False,contacts,389,394,7797,313,265,262,269,5639
model:ru-pii-ner,corrupt-redmadrobot,False,names,1260,1264,10495,1161,1142,1104,1140,9756
model:ru-pii-ner,corrupt-redmadrobot,False,network,361,361,10058,179,129,127,129,3322
model:gliner2-fastino-ru,corrupt-redmadrobot,False,identity,2076,2140,22706,1513,1468,1459,1504,15531
model:gliner2-fastino-ru,corrupt-redmadrobot,False,addresses,1242,1252,14252,982,873,869,875,10275
model:gliner2-fastino-ru,corrupt-redmadrobot,False,financial,203,203,4184,180,180,177,177,3636
model:gliner2-fastino-ru,corrupt-redmadrobot,False,contacts,389,394,7797,351,302,301,304,6390
model:gliner2-fastino-ru,corrupt-redmadrobot,False,names,1260,1264,10495,971,946,944,949,7636
model:gliner2-fastino-ru,corrupt-redmadrobot,False,network,361,361,10058,163,114,112,112,2641
model:ru-legal-ner,corrupt-redmadrobot,False,identity,2076,2140,22706,1643,1355,1131,1208,15855
model:ru-legal-ner,corrupt-redmadrobot,False,addresses,1242,1252,14252,756,548,383,386,7689
model:ru-legal-ner,corrupt-redmadrobot,False,financial,203,203,4184,167,115,64,68,3122
model:ru-legal-ner,corrupt-redmadrobot,False,contacts,389,394,7797,368,264,237,243,6676
model:ru-legal-ner,corrupt-redmadrobot,False,names,1260,1264,10495,937,916,724,734,7858
model:ru-legal-ner,corrupt-redmadrobot,False,network,361,361,10058,238,11,10,10,3226
model:ru-legal-ner+homoglyph,corrupt-redmadrobot,False,identity,2076,2140,22706,1632,1351,1132,1209,15578
model:ru-legal-ner+homoglyph,corrupt-redmadrobot,False,addresses,1242,1252,14252,703,516,367,372,7043
model:ru-legal-ner+homoglyph,corrupt-redmadrobot,False,financial,203,203,4184,166,114,64,68,3095
model:ru-legal-ner+homoglyph,corrupt-redmadrobot,False,contacts,389,394,7797,369,266,242,247,6684
model:ru-legal-ner+homoglyph,corrupt-redmadrobot,False,names,1260,1264,10495,934,914,747,757,7838
model:ru-legal-ner+homoglyph,corrupt-redmadrobot,False,network,361,361,10058,235,11,9,9,3164
model:apararti,corrupt-redmadrobot,False,identity,2076,2140,22706,1705,1407,1296,1360,16334
model:apararti,corrupt-redmadrobot,False,addresses,1242,1252,14252,658,508,431,436,6986
model:apararti,corrupt-redmadrobot,False,financial,203,203,4184,186,138,144,146,3568
model:apararti,corrupt-redmadrobot,False,contacts,389,394,7797,340,253,261,268,6131
model:apararti,corrupt-redmadrobot,False,names,1260,1264,10495,898,868,751,769,7654
model:apararti,corrupt-redmadrobot,False,network,361,361,10058,246,195,181,186,5643
model:gliner-nvidia-ru,corrupt-redmadrobot,False,identity,2076,2140,22706,1282,1256,1256,1288,13404
model:gliner-nvidia-ru,corrupt-redmadrobot,False,addresses,1242,1252,14252,882,727,726,728,8450
model:gliner-nvidia-ru,corrupt-redmadrobot,False,financial,203,203,4184,170,165,165,165,3492
model:gliner-nvidia-ru,corrupt-redmadrobot,False,contacts,389,394,7797,338,328,328,332,6756
model:gliner-nvidia-ru,corrupt-redmadrobot,False,names,1260,1264,10495,953,911,911,916,7412
model:gliner-nvidia-ru,corrupt-redmadrobot,False,network,361,361,10058,230,226,226,226,4546
model:gliner2-fastino,corrupt-redmadrobot,False,identity,2076,2140,22706,1234,1177,1174,1217,12502
model:gliner2-fastino,corrupt-redmadrobot,False,addresses,1242,1252,14252,974,853,850,856,10101
model:gliner2-fastino,corrupt-redmadrobot,False,financial,203,203,4184,184,182,179,179,3705
model:gliner2-fastino,corrupt-redmadrobot,False,contacts,389,394,7797,357,284,281,284,6370
model:gliner2-fastino,corrupt-redmadrobot,False,names,1260,1264,10495,894,831,830,836,6925
model:gliner2-fastino,corrupt-redmadrobot,False,network,361,361,10058,196,113,111,111,3117
model:opf-kz-ru,corrupt-redmadrobot,False,identity,2076,2140,22706,1758,1445,1414,1472,16126
model:opf-kz-ru,corrupt-redmadrobot,False,addresses,1242,1252,14252,451,283,220,223,4423
model:opf-kz-ru,corrupt-redmadrobot,False,financial,203,203,4184,183,131,130,130,3470
model:opf-kz-ru,corrupt-redmadrobot,False,contacts,389,394,7797,352,248,251,256,6220
model:opf-kz-ru,corrupt-redmadrobot,False,names,1260,1264,10495,743,711,564,583,6220
model:opf-kz-ru,corrupt-redmadrobot,False,network,361,361,10058,243,184,148,150,5538
model:traciora,corrupt-redmadrobot,False,identity,2076,2140,22706,1250,848,546,591,12081
model:traciora,corrupt-redmadrobot,False,addresses,1242,1252,14252,731,588,483,487,8157
model:traciora,corrupt-redmadrobot,False,financial,203,203,4184,184,122,109,110,3385
model:traciora,corrupt-redmadrobot,False,contacts,389,394,7797,358,268,263,268,6401
model:traciora,corrupt-redmadrobot,False,names,1260,1264,10495,909,870,717,741,7816
model:traciora,corrupt-redmadrobot,False,network,361,361,10058,182,116,85,87,3344
model:opf-ru,corrupt-redmadrobot,False,identity,2076,2140,22706,1364,867,597,634,11005
model:opf-ru,corrupt-redmadrobot,False,addresses,1242,1252,14252,655,377,267,269,6106
model:opf-ru,corrupt-redmadrobot,False,financial,203,203,4184,146,52,43,44,2045
model:opf-ru,corrupt-redmadrobot,False,contacts,389,394,7797,353,197,189,194,5439
model:opf-ru,corrupt-redmadrobot,False,names,1260,1264,10495,875,822,646,663,7356
model:opf-ru,corrupt-redmadrobot,False,network,361,361,10058,209,23,5,5,2710
model:bardsai-eu,corrupt-redmadrobot,False,identity,2076,2140,22706,1111,967,821,864,11950
model:bardsai-eu,corrupt-redmadrobot,False,addresses,1242,1252,14252,820,709,606,609,8636
model:bardsai-eu,corrupt-redmadrobot,False,financial,203,203,4184,142,104,80,80,2646
model:bardsai-eu,corrupt-redmadrobot,False,contacts,389,394,7797,338,127,113,119,5070
model:bardsai-eu,corrupt-redmadrobot,False,names,1260,1264,10495,968,937,850,874,7920
model:bardsai-eu,corrupt-redmadrobot,False,network,361,361,10058,200,106,89,93,3668
model:gliner2-hivetrace-omni-ru,corrupt-redmadrobot,False,identity,2076,2140,22706,1221,1178,1176,1212,12274
model:gliner2-hivetrace-omni-ru,corrupt-redmadrobot,False,addresses,1242,1252,14252,938,664,663,668,8861
model:gliner2-hivetrace-omni-ru,corrupt-redmadrobot,False,financial,203,203,4184,178,178,177,177,3620
model:gliner2-hivetrace-omni-ru,corrupt-redmadrobot,False,contacts,389,394,7797,340,315,315,317,6398
model:gliner2-hivetrace-omni-ru,corrupt-redmadrobot,False,names,1260,1264,10495,761,728,728,728,5854
model:gliner2-hivetrace-omni-ru,corrupt-redmadrobot,False,network,361,361,10058,131,118,117,117,2143
model:gliner-nvidia+homoglyph,corrupt-redmadrobot,False,identity,2076,2140,22706,892,862,862,893,8901
model:gliner-nvidia+homoglyph,corrupt-redmadrobot,False,addresses,1242,1252,14252,913,778,777,781,9099
model:gliner-nvidia+homoglyph,corrupt-redmadrobot,False,financial,203,203,4184,140,135,135,135,2947
model:gliner-nvidia+homoglyph,corrupt-redmadrobot,False,contacts,389,394,7797,343,333,332,336,6845
model:gliner-nvidia+homoglyph,corrupt-redmadrobot,False,names,1260,1264,10495,1049,997,997,1001,8149
model:gliner-nvidia+homoglyph,corrupt-redmadrobot,False,network,361,361,10058,223,220,220,220,4333
model:gliner-nvidia,corrupt-redmadrobot,False,identity,2076,2140,22706,892,862,862,893,8923
model:gliner-nvidia,corrupt-redmadrobot,False,addresses,1242,1252,14252,882,748,747,750,8623
model:gliner-nvidia,corrupt-redmadrobot,False,financial,203,203,4184,140,135,135,135,2947
model:gliner-nvidia,corrupt-redmadrobot,False,contacts,389,394,7797,345,334,334,337,6851
model:gliner-nvidia,corrupt-redmadrobot,False,names,1260,1264,10495,1017,965,965,969,7886
model:gliner-nvidia,corrupt-redmadrobot,False,network,361,361,10058,222,219,219,219,4315
model:gravitee-small,corrupt-redmadrobot,False,identity,2076,2140,22706,923,794,704,733,8804
model:gravitee-small,corrupt-redmadrobot,False,addresses,1242,1252,14252,753,671,575,579,8388
model:gravitee-small,corrupt-redmadrobot,False,financial,203,203,4184,185,140,126,127,3477
model:gravitee-small,corrupt-redmadrobot,False,contacts,389,394,7797,338,265,251,257,6164
model:gravitee-small,corrupt-redmadrobot,False,names,1260,1264,10495,809,797,723,727,6738
model:gravitee-small,corrupt-redmadrobot,False,network,361,361,10058,333,264,246,247,8119
model:gliner2-hivetrace-omni,corrupt-redmadrobot,False,identity,2076,2140,22706,886,844,844,876,7926
model:gliner2-hivetrace-omni,corrupt-redmadrobot,False,addresses,1242,1252,14252,915,682,681,685,8626
model:gliner2-hivetrace-omni,corrupt-redmadrobot,False,financial,203,203,4184,179,179,178,178,3646
model:gliner2-hivetrace-omni,corrupt-redmadrobot,False,contacts,389,394,7797,324,295,295,297,6155
model:gliner2-hivetrace-omni,corrupt-redmadrobot,False,names,1260,1264,10495,856,778,778,783,6147
model:gliner2-hivetrace-omni,corrupt-redmadrobot,False,network,361,361,10058,132,115,114,114,2079
model:openai-base,corrupt-redmadrobot,False,identity,2076,2140,22706,1354,1142,1113,1147,12688
model:openai-base,corrupt-redmadrobot,False,addresses,1242,1252,14252,483,414,387,392,5467
model:openai-base,corrupt-redmadrobot,False,financial,203,203,4184,156,131,128,130,3086
model:openai-base,corrupt-redmadrobot,False,contacts,389,394,7797,316,243,246,250,5738
model:openai-base,corrupt-redmadrobot,False,names,1260,1264,10495,814,795,736,756,6858
model:openai-base,corrupt-redmadrobot,False,network,361,361,10058,160,141,136,138,3844
model:opf-ru-v2+homoglyph,corrupt-redmadrobot,False,identity,2076,2140,22706,1430,1031,855,902,12432
model:opf-ru-v2+homoglyph,corrupt-redmadrobot,False,addresses,1242,1252,14252,459,329,291,296,4779
model:opf-ru-v2+homoglyph,corrupt-redmadrobot,False,financial,203,203,4184,158,110,100,102,2713
model:opf-ru-v2+homoglyph,corrupt-redmadrobot,False,contacts,389,394,7797,300,204,205,209,4986
model:opf-ru-v2+homoglyph,corrupt-redmadrobot,False,names,1260,1264,10495,751,705,576,590,6323
model:opf-ru-v2+homoglyph,corrupt-redmadrobot,False,network,361,361,10058,160,94,84,87,2863
model:opf-ru-v2,corrupt-redmadrobot,False,identity,2076,2140,22706,1429,1027,854,900,12479
model:opf-ru-v2,corrupt-redmadrobot,False,addresses,1242,1252,14252,473,336,282,287,4952
model:opf-ru-v2,corrupt-redmadrobot,False,financial,203,203,4184,159,108,100,102,2720
model:opf-ru-v2,corrupt-redmadrobot,False,contacts,389,394,7797,301,205,203,207,4957
model:opf-ru-v2,corrupt-redmadrobot,False,names,1260,1264,10495,724,677,520,535,6063
model:opf-ru-v2,corrupt-redmadrobot,False,network,361,361,10058,160,98,84,87,2891
model:gliner-pii-edge,corrupt-redmadrobot,False,identity,2076,2140,22706,1392,1319,1312,1351,12335
model:gliner-pii-edge,corrupt-redmadrobot,False,addresses,1242,1252,14252,517,344,338,343,4786
model:gliner-pii-edge,corrupt-redmadrobot,False,financial,203,203,4184,171,158,158,158,3367
model:gliner-pii-edge,corrupt-redmadrobot,False,contacts,389,394,7797,281,251,249,252,5132
model:gliner-pii-edge,corrupt-redmadrobot,False,names,1260,1264,10495,584,553,552,554,4676
model:gliner-pii-edge,corrupt-redmadrobot,False,network,361,361,10058,241,166,164,164,4518
model:gliner-urchade-ru,corrupt-redmadrobot,False,identity,2076,2140,22706,1457,1429,1429,1472,15253
model:gliner-urchade-ru,corrupt-redmadrobot,False,addresses,1242,1252,14252,864,818,816,819,9627
model:gliner-urchade-ru,corrupt-redmadrobot,False,financial,203,203,4184,147,146,145,145,3043
model:gliner-urchade-ru,corrupt-redmadrobot,False,contacts,389,394,7797,311,303,303,307,6158
model:gliner-urchade-ru,corrupt-redmadrobot,False,names,1260,1264,10495,145,141,140,140,1178
model:gliner-urchade-ru,corrupt-redmadrobot,False,network,361,361,10058,179,162,162,162,3474
model:gliner-urchade,corrupt-redmadrobot,False,identity,2076,2140,22706,1248,1220,1220,1262,12747
model:gliner-urchade,corrupt-redmadrobot,False,addresses,1242,1252,14252,863,804,803,807,9618
model:gliner-urchade,corrupt-redmadrobot,False,financial,203,203,4184,166,165,164,164,3478
model:gliner-urchade,corrupt-redmadrobot,False,contacts,389,394,7797,346,334,333,338,6808
model:gliner-urchade,corrupt-redmadrobot,False,names,1260,1264,10495,247,238,238,238,1991
model:gliner-urchade,corrupt-redmadrobot,False,network,361,361,10058,225,190,190,190,4404
model:gliner2-large,corrupt-redmadrobot,False,identity,2076,2140,22706,1037,972,965,997,9899
model:gliner2-large,corrupt-redmadrobot,False,addresses,1242,1252,14252,713,602,600,601,7042
model:gliner2-large,corrupt-redmadrobot,False,financial,203,203,4184,148,137,136,136,2926
model:gliner2-large,corrupt-redmadrobot,False,contacts,389,394,7797,339,310,310,313,6362
model:gliner2-large,corrupt-redmadrobot,False,names,1260,1264,10495,630,608,608,611,4918
model:gliner2-large,corrupt-redmadrobot,False,network,361,361,10058,207,149,148,148,3630
model:nuner-zero,corrupt-redmadrobot,False,identity,2076,2140,22706,977,804,621,674,8716
model:nuner-zero,corrupt-redmadrobot,False,addresses,1242,1252,14252,747,564,328,331,8084
model:nuner-zero,corrupt-redmadrobot,False,financial,203,203,4184,160,94,30,30,2824
model:nuner-zero,corrupt-redmadrobot,False,contacts,389,394,7797,374,339,157,163,7319
model:nuner-zero,corrupt-redmadrobot,False,names,1260,1264,10495,450,416,416,417,3430
model:nuner-zero,corrupt-redmadrobot,False,network,361,361,10058,359,326,293,293,9549
model:gliner2-hivetrace-uni,corrupt-redmadrobot,False,identity,2076,2140,22706,1284,1143,1130,1176,11239
model:gliner2-hivetrace-uni,corrupt-redmadrobot,False,addresses,1242,1252,14252,832,647,646,650,8124
model:gliner2-hivetrace-uni,corrupt-redmadrobot,False,financial,203,203,4184,68,50,48,48,1066
model:gliner2-hivetrace-uni,corrupt-redmadrobot,False,contacts,389,394,7797,302,234,234,238,5041
model:gliner2-hivetrace-uni,corrupt-redmadrobot,False,names,1260,1264,10495,489,447,447,448,3467
model:gliner2-hivetrace-uni,corrupt-redmadrobot,False,network,361,361,10058,36,13,13,13,343
model:gliner-stream-pii,corrupt-redmadrobot,False,identity,2076,2140,22706,1069,525,511,531,6296
model:gliner-stream-pii,corrupt-redmadrobot,False,addresses,1242,1252,14252,667,389,388,391,5570
model:gliner-stream-pii,corrupt-redmadrobot,False,financial,203,203,4184,171,27,25,25,1456
model:gliner-stream-pii,corrupt-redmadrobot,False,contacts,389,394,7797,243,161,161,164,3979
model:gliner-stream-pii,corrupt-redmadrobot,False,names,1260,1264,10495,646,566,566,570,4835
model:gliner-stream-pii,corrupt-redmadrobot,False,network,361,361,10058,209,128,127,127,3284
model:openmed-multilingual,corrupt-redmadrobot,False,identity,2076,2140,22706,1039,692,476,498,8970
model:openmed-multilingual,corrupt-redmadrobot,False,addresses,1242,1252,14252,472,242,140,142,4103
model:openmed-multilingual,corrupt-redmadrobot,False,financial,203,203,4184,187,110,90,90,2985
model:openmed-multilingual,corrupt-redmadrobot,False,contacts,389,394,7797,312,166,156,158,4519
model:openmed-multilingual,corrupt-redmadrobot,False,names,1260,1264,10495,593,552,336,347,4807
model:openmed-multilingual,corrupt-redmadrobot,False,network,361,361,10058,311,237,210,217,6911
model:fef2-secret-ru,corrupt-redmadrobot,False,identity,2076,2140,22706,874,763,668,710,9977
model:fef2-secret-ru,corrupt-redmadrobot,False,addresses,1242,1252,14252,739,599,532,539,8076
model:fef2-secret-ru,corrupt-redmadrobot,False,financial,203,203,4184,111,89,80,80,2231
model:fef2-secret-ru,corrupt-redmadrobot,False,contacts,389,394,7797,196,128,112,115,3563
model:fef2-secret-ru,corrupt-redmadrobot,False,names,1260,1264,10495,893,880,836,840,7150
model:fef2-secret-ru,corrupt-redmadrobot,False,network,361,361,10058,28,7,6,6,320
model:gliner25-fastino-ru,corrupt-redmadrobot,False,identity,2076,2140,22706,1253,1185,1163,1210,12562
model:gliner25-fastino-ru,corrupt-redmadrobot,False,addresses,1242,1252,14252,236,213,213,213,2500
model:gliner25-fastino-ru,corrupt-redmadrobot,False,financial,203,203,4184,159,151,147,147,3222
model:gliner25-fastino-ru,corrupt-redmadrobot,False,contacts,389,394,7797,309,269,266,270,5869
model:gliner25-fastino-ru,corrupt-redmadrobot,False,names,1260,1264,10495,745,721,721,725,5784
model:gliner25-fastino-ru,corrupt-redmadrobot,False,network,361,361,10058,94,86,83,83,1850
model:gliner2-vladlinv-ru,corrupt-redmadrobot,False,identity,2076,2140,22706,1538,1510,1499,1555,15311
model:gliner2-vladlinv-ru,corrupt-redmadrobot,False,addresses,1242,1252,14252,157,153,153,153,1956
model:gliner2-vladlinv-ru,corrupt-redmadrobot,False,financial,203,203,4184,142,139,139,139,2858
model:gliner2-vladlinv-ru,corrupt-redmadrobot,False,contacts,389,394,7797,258,249,247,253,4819
model:gliner2-vladlinv-ru,corrupt-redmadrobot,False,names,1260,1264,10495,597,582,582,582,4584
model:gliner2-vladlinv-ru,corrupt-redmadrobot,False,network,361,361,10058,18,16,16,16,279
model:stanza-ru,corrupt-redmadrobot,False,identity,2076,2140,22706,453,279,276,294,2681
model:stanza-ru,corrupt-redmadrobot,False,addresses,1242,1252,14252,983,803,796,804,10450
model:stanza-ru,corrupt-redmadrobot,False,financial,203,203,4184,11,6,4,4,177
model:stanza-ru,corrupt-redmadrobot,False,contacts,389,394,7797,39,20,18,19,601
model:stanza-ru,corrupt-redmadrobot,False,names,1260,1264,10495,1104,1084,1084,1086,8945
model:stanza-ru,corrupt-redmadrobot,False,network,361,361,10058,116,28,25,25,1888
model:openmed-nemotron,corrupt-redmadrobot,False,identity,2076,2140,22706,470,273,123,127,3750
model:openmed-nemotron,corrupt-redmadrobot,False,addresses,1242,1252,14252,671,381,234,236,6422
model:openmed-nemotron,corrupt-redmadrobot,False,financial,203,203,4184,131,78,56,57,2124
model:openmed-nemotron,corrupt-redmadrobot,False,contacts,389,394,7797,283,123,105,107,4240
model:openmed-nemotron,corrupt-redmadrobot,False,names,1260,1264,10495,837,775,415,427,6899
model:openmed-nemotron,corrupt-redmadrobot,False,network,361,361,10058,293,194,170,174,6348
model:kalyan-ettin,corrupt-redmadrobot,False,identity,2076,2140,22706,596,440,206,223,4825
model:kalyan-ettin,corrupt-redmadrobot,False,addresses,1242,1252,14252,479,270,122,122,4477
model:kalyan-ettin,corrupt-redmadrobot,False,financial,203,203,4184,107,39,24,24,1296
model:kalyan-ettin,corrupt-redmadrobot,False,contacts,389,394,7797,250,136,104,109,3838
model:kalyan-ettin,corrupt-redmadrobot,False,names,1260,1264,10495,696,654,361,384,5827
model:kalyan-ettin,corrupt-redmadrobot,False,network,361,361,10058,286,139,119,124,5599
model:gliner2-vladlinv+homoglyph,corrupt-redmadrobot,False,identity,2076,2140,22706,1184,1164,1160,1207,11044
model:gliner2-vladlinv+homoglyph,corrupt-redmadrobot,False,addresses,1242,1252,14252,163,158,158,159,2083
model:gliner2-vladlinv+homoglyph,corrupt-redmadrobot,False,financial,203,203,4184,77,76,75,75,1554
model:gliner2-vladlinv+homoglyph,corrupt-redmadrobot,False,contacts,389,394,7797,260,254,252,258,4877
model:gliner2-vladlinv+homoglyph,corrupt-redmadrobot,False,names,1260,1264,10495,678,659,659,662,5124
model:gliner2-vladlinv+homoglyph,corrupt-redmadrobot,False,network,361,361,10058,35,33,33,33,576
model:gliner2-vladlinv,corrupt-redmadrobot,False,identity,2076,2140,22706,1191,1170,1166,1213,11183
model:gliner2-vladlinv,corrupt-redmadrobot,False,addresses,1242,1252,14252,142,138,138,139,1756
model:gliner2-vladlinv,corrupt-redmadrobot,False,financial,203,203,4184,77,76,75,75,1554
model:gliner2-vladlinv,corrupt-redmadrobot,False,contacts,389,394,7797,260,253,251,257,4869
model:gliner2-vladlinv,corrupt-redmadrobot,False,names,1260,1264,10495,633,615,615,618,4772
model:gliner2-vladlinv,corrupt-redmadrobot,False,network,361,361,10058,35,33,33,33,576
model:ner-ru-yqelz,corrupt-redmadrobot,False,identity,2076,2140,22706,370,212,168,173,2652
model:ner-ru-yqelz,corrupt-redmadrobot,False,addresses,1242,1252,14252,834,711,633,641,8986
model:ner-ru-yqelz,corrupt-redmadrobot,False,financial,203,203,4184,65,14,5,5,836
model:ner-ru-yqelz,corrupt-redmadrobot,False,contacts,389,394,7797,110,9,7,7,961
model:ner-ru-yqelz,corrupt-redmadrobot,False,names,1260,1264,10495,882,847,707,718,6900
model:ner-ru-yqelz,corrupt-redmadrobot,False,network,361,361,10058,77,6,1,1,1512
model:ner-ru-gherman+homoglyph,corrupt-redmadrobot,False,identity,2076,2140,22706,13,5,2,2,43
model:ner-ru-gherman+homoglyph,corrupt-redmadrobot,False,addresses,1242,1252,14252,1034,646,455,458,9426
model:ner-ru-gherman+homoglyph,corrupt-redmadrobot,False,financial,203,203,4184,0,0,0,0,0
model:ner-ru-gherman+homoglyph,corrupt-redmadrobot,False,contacts,389,394,7797,83,0,0,0,842
model:ner-ru-gherman+homoglyph,corrupt-redmadrobot,False,names,1260,1264,10495,1098,1077,922,939,9078
model:ner-ru-gherman+homoglyph,corrupt-redmadrobot,False,network,361,361,10058,3,0,0,0,21
model:ner-ru-gherman,corrupt-redmadrobot,False,identity,2076,2140,22706,13,5,2,2,43
model:ner-ru-gherman,corrupt-redmadrobot,False,addresses,1242,1252,14252,1010,627,418,421,9172
model:ner-ru-gherman,corrupt-redmadrobot,False,financial,203,203,4184,0,0,0,0,0
model:ner-ru-gherman,corrupt-redmadrobot,False,contacts,389,394,7797,82,0,0,0,827
model:ner-ru-gherman,corrupt-redmadrobot,False,names,1260,1264,10495,1084,1063,834,852,9017
model:ner-ru-gherman,corrupt-redmadrobot,False,network,361,361,10058,3,0,0,0,21
model:davlan-xlmr,corrupt-redmadrobot,False,identity,2076,2140,22706,7,2,1,1,13
model:davlan-xlmr,corrupt-redmadrobot,False,addresses,1242,1252,14252,973,784,697,705,10142
model:davlan-xlmr,corrupt-redmadrobot,False,financial,203,203,4184,0,0,0,0,0
model:davlan-xlmr,corrupt-redmadrobot,False,contacts,389,394,7797,14,0,0,0,112
model:davlan-xlmr,corrupt-redmadrobot,False,names,1260,1264,10495,1110,1059,965,994,9086
model:davlan-xlmr,corrupt-redmadrobot,False,network,361,361,10058,10,2,2,2,108
model:gliner25-fastino,corrupt-redmadrobot,False,identity,2076,2140,22706,495,466,462,494,4355
model:gliner25-fastino,corrupt-redmadrobot,False,addresses,1242,1252,14252,325,283,283,283,3356
model:gliner25-fastino,corrupt-redmadrobot,False,financial,203,203,4184,101,96,95,95,2032
model:gliner25-fastino,corrupt-redmadrobot,False,contacts,389,394,7797,317,267,266,271,5950
model:gliner25-fastino,corrupt-redmadrobot,False,names,1260,1264,10495,671,617,616,620,5154
model:gliner25-fastino,corrupt-redmadrobot,False,network,361,361,10058,116,92,88,88,2073
model:davlan-mbert,corrupt-redmadrobot,False,identity,2076,2140,22706,2,0,0,0,7
model:davlan-mbert,corrupt-redmadrobot,False,addresses,1242,1252,14252,891,772,659,662,9596
model:davlan-mbert,corrupt-redmadrobot,False,financial,203,203,4184,1,0,0,0,18
model:davlan-mbert,corrupt-redmadrobot,False,contacts,389,394,7797,16,1,1,1,162
model:davlan-mbert,corrupt-redmadrobot,False,names,1260,1264,10495,1050,1028,884,902,8849
model:davlan-mbert,corrupt-redmadrobot,False,network,361,361,10058,41,2,2,2,340
model:gliner-pii-base,corrupt-redmadrobot,False,identity,2076,2140,22706,457,452,452,461,3714
model:gliner-pii-base,corrupt-redmadrobot,False,addresses,1242,1252,14252,383,278,275,277,3318
model:gliner-pii-base,corrupt-redmadrobot,False,financial,203,203,4184,84,83,83,83,1778
model:gliner-pii-base,corrupt-redmadrobot,False,contacts,389,394,7797,285,273,272,276,5612
model:gliner-pii-base,corrupt-redmadrobot,False,names,1260,1264,10495,585,551,551,554,4421
model:gliner-pii-base,corrupt-redmadrobot,False,network,361,361,10058,206,170,170,170,3658
model:gliner-multi-v21-ru,corrupt-redmadrobot,False,identity,2076,2140,22706,172,168,168,169,1963
model:gliner-multi-v21-ru,corrupt-redmadrobot,False,addresses,1242,1252,14252,674,606,605,607,6804
model:gliner-multi-v21-ru,corrupt-redmadrobot,False,financial,203,203,4184,9,7,7,7,188
model:gliner-multi-v21-ru,corrupt-redmadrobot,False,contacts,389,394,7797,87,31,24,25,1067
model:gliner-multi-v21-ru,corrupt-redmadrobot,False,names,1260,1264,10495,698,672,672,672,5352
model:gliner-multi-v21-ru,corrupt-redmadrobot,False,network,361,361,10058,109,61,60,60,1126
model:gliner-multi-v21,corrupt-redmadrobot,False,identity,2076,2140,22706,46,44,44,46,540
model:gliner-multi-v21,corrupt-redmadrobot,False,addresses,1242,1252,14252,675,606,604,605,6707
model:gliner-multi-v21,corrupt-redmadrobot,False,financial,203,203,4184,8,6,6,6,169
model:gliner-multi-v21,corrupt-redmadrobot,False,contacts,389,394,7797,82,31,29,29,1018
model:gliner-multi-v21,corrupt-redmadrobot,False,names,1260,1264,10495,658,636,636,636,5092
model:gliner-multi-v21,corrupt-redmadrobot,False,network,361,361,10058,137,62,62,62,1276
model:gliner2-hivetrace-uni-ru,corrupt-redmadrobot,False,identity,2076,2140,22706,532,494,493,507,4279
model:gliner2-hivetrace-uni-ru,corrupt-redmadrobot,False,addresses,1242,1252,14252,429,354,354,357,3907
model:gliner2-hivetrace-uni-ru,corrupt-redmadrobot,False,financial,203,203,4184,12,12,12,12,249
model:gliner2-hivetrace-uni-ru,corrupt-redmadrobot,False,contacts,389,394,7797,47,24,24,25,615
model:gliner2-hivetrace-uni-ru,corrupt-redmadrobot,False,names,1260,1264,10495,487,465,465,467,3692
model:gliner2-hivetrace-uni-ru,corrupt-redmadrobot,False,network,361,361,10058,9,4,4,4,111
model:spacy-ru-lg,corrupt-redmadrobot,False,identity,2076,2140,22706,93,54,54,55,676
model:spacy-ru-lg,corrupt-redmadrobot,False,addresses,1242,1252,14252,585,466,464,465,5846
model:spacy-ru-lg,corrupt-redmadrobot,False,financial,203,203,4184,1,0,0,0,4
model:spacy-ru-lg,corrupt-redmadrobot,False,contacts,389,394,7797,30,20,20,20,572
model:spacy-ru-lg,corrupt-redmadrobot,False,names,1260,1264,10495,653,638,638,638,4990
model:spacy-ru-lg,corrupt-redmadrobot,False,network,361,361,10058,39,24,24,24,817
model:natasha,corrupt-redmadrobot,False,identity,2076,2140,22706,78,33,32,33,267
model:natasha,corrupt-redmadrobot,False,addresses,1242,1252,14252,557,465,431,433,5790
model:natasha,corrupt-redmadrobot,False,financial,203,203,4184,1,0,0,0,18
model:natasha,corrupt-redmadrobot,False,contacts,389,394,7797,17,3,3,3,149
model:natasha,corrupt-redmadrobot,False,names,1260,1264,10495,547,534,455,455,4339
model:natasha,corrupt-redmadrobot,False,network,361,361,10058,9,4,4,4,81
model:rules-ru,corrupt-redmadrobot,False,identity,2076,2140,22706,183,179,172,190,2106
model:rules-ru,corrupt-redmadrobot,False,addresses,1242,1252,14252,3,2,2,2,10
model:rules-ru,corrupt-redmadrobot,False,financial,203,203,4184,28,28,27,28,519
model:rules-ru,corrupt-redmadrobot,False,contacts,389,394,7797,257,163,162,164,3893
model:rules-ru,corrupt-redmadrobot,False,names,1260,1264,10495,3,3,3,3,20
