device,model,chars_per_second,rows_per_second,relative_pplx,p50_ms_reported,p95_ms_reported,hardware,threads,workers,quant,variant,rss_mb,datasets
cuda,openmed-nemotron,11447.0,16.42,2.52,31.0,222.0,NVIDIA GeForce RTX 5090,-,2,-,-,3821.0,31
cuda,opf-ru,8946.0,12.83,1.97,42.0,275.0,NVIDIA GeForce RTX 5090,-,2,-,-,3817.0,31
cuda,traciora,7361.0,11.17,1.62,52.0,347.0,NVIDIA GeForce RTX 5090,-,2,-,-,3814.0,10
cuda,opf-kz-ru,6275.0,11.09,1.38,59.0,298.0,NVIDIA GeForce RTX 5090,-,2,-,-,3814.0,40
cuda,apararti,5933.0,10.49,1.3,62.0,320.0,NVIDIA GeForce RTX 5090,-,2,-,-,3815.0,40
cuda,openai-base,5543.0,7.95,1.22,71.0,437.0,NVIDIA GeForce RTX 5090,-,2,-,-,3814.0,31
cuda,pplx+ov100,5187.0,3.79,1.0,143.0,854.0,NVIDIA GeForce RTX 5090,-,2,-,ov100,4234.0,11
cuda,pplx+homoglyph,4645.0,12.08,1.0,54.0,241.0,NVIDIA GeForce RTX 5090,-,2,-,homoglyph,4234.0,3
cuda,pplx,4551.0,8.04,1.0,60.0,426.0,NVIDIA GeForce RTX 5090,-,2,-,-,4234.0,40
cuda,pplx+sent300,3525.0,2.58,1.0,215.0,1387.0,NVIDIA GeForce RTX 5090,-,2,-,sent300,4234.0,11
cuda,gliner-pii-edge,1723.0,9.29,0.38,22.0,435.0,NVIDIA GeForce RTX 5090,-,2,-,-,1685.0,6
cuda,gravitee-small,67914.0,97.03,,6.0,38.0,NVIDIA GeForce RTX 5090,-,4,-,-,1250.0,26
cuda,fef2-secret-ru,63108.0,53.4,,11.0,60.0,NVIDIA GeForce RTX 5090,-,4,-,-,1534.0,4
cuda,gliner2-vladlinv-ru,44875.0,105.86,,6.0,31.0,NVIDIA GeForce RTX 5090,-,4,-,-,3221.0,17
cuda,gliner25-fastino-ru,38527.0,91.22,,7.0,31.0,NVIDIA GeForce RTX 5090,-,4,-,-,3229.0,18
cuda,gliner-urchade-ru,35298.0,83.57,,8.0,38.0,NVIDIA GeForce RTX 5090,-,4,-,-,3154.0,18
cuda,gliner2-hivetrace-omni,27995.0,39.2,,11.0,104.0,NVIDIA GeForce RTX 5090,-,4,-,-,3335.0,9
cuda,gliner-multi-v21-ru,27925.0,66.11,,10.0,45.0,NVIDIA GeForce RTX 5090,-,4,-,-,3141.0,18
cuda,gliner25-fastino-ru+nochunk,27579.0,54.84,,12.0,89.0,NVIDIA GeForce RTX 5090,-,4,-,nochunk,3192.0,1
cuda,kalyan-ettin,24459.0,43.23,,7.0,97.0,NVIDIA GeForce RTX 5090,-,4,-,-,1528.0,40
cuda,gliner2-hivetrace-uni,23368.0,41.3,,14.0,82.0,NVIDIA GeForce RTX 5090,-,4,-,-,2110.0,40
cuda,gliner2-hivetrace-omni-ru,23192.0,50.54,,12.0,58.0,NVIDIA GeForce RTX 5090,-,4,-,-,3343.0,16
cuda,gliner-nvidia+sent300,21204.0,6.12,,131.0,429.0,NVIDIA GeForce RTX 5090,-,4,-,sent300,4260.0,3
cuda,gliner2-hivetrace-uni-ru,19647.0,53.04,,12.0,52.0,NVIDIA GeForce RTX 5090,-,4,-,-,2072.0,17
cuda,gliner2-fastino-ru,17889.0,42.35,,16.0,64.0,NVIDIA GeForce RTX 5090,-,4,-,-,3342.0,18
cuda,gliner-nvidia-ru,7770.0,18.4,,32.0,167.0,NVIDIA GeForce RTX 5090,-,4,-,-,4272.0,18
cuda,stanza-ru,7663.0,13.54,,38.0,276.0,NVIDIA GeForce RTX 5090,-,4,-,-,1893.0,40
cuda,ru-pii-ner,4133.0,7.3,,65.0,496.0,NVIDIA GeForce RTX 5090,-,4,-,-,2218.0,40
cuda,gravitee-small,66918.0,163.33,,2.0,28.0,NVIDIA GeForce RTX 5090,-,8,-,-,1218.0,12
cuda,opf-ru-v2+ov100,74698.0,42.24,,16.0,74.0,NVIDIA H200 NVL,-,1,-,ov100,3812.0,4
cuda,opf-ru-v2+sent300,52422.0,26.83,,25.0,120.0,NVIDIA H200 NVL,-,1,-,sent300,3816.0,8
cuda,opf-ru-v2+homoglyph,43329.0,79.74,,8.0,36.0,NVIDIA H200 NVL,-,1,-,homoglyph,4161.0,2
cuda,opf-ru-v2+ov100,662.0,0.67,,574.0,5185.0,NVIDIA H200 NVL,-,24,-,ov100,3810.0,7
cuda,opf-ru-v2+sent300,335.0,1.05,,528.0,3150.0,NVIDIA H200 NVL,-,24,-,sent300,3809.0,3
cuda,gliner2-hivetrace-omni-ru,71039.0,294.12,,3.0,3.0,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,-,1,-,-,3238.0,1
cuda,gliner25-fastino+nochunk,37505.0,19.38,,32.0,154.0,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,-,1,-,nochunk,2920.0,3
cuda,gliner25-fastino-ru+nochunk,33041.0,14.89,,45.0,165.0,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,-,1,-,nochunk,3054.0,4
cuda,openmed-multilingual,10520.0,57.47,,17.0,19.0,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,-,1,-,-,3777.0,1
cuda,openmed-nemotron,10132.0,55.35,,18.0,19.0,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,-,1,-,-,3745.0,1
cuda,opf-ru,8829.0,48.23,,20.0,22.0,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,-,1,-,-,3954.0,1
cuda,traciora,8346.0,45.59,,21.0,23.0,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,-,1,-,-,3806.0,1
cuda,gliner-stream-pii,7763.0,189.79,,5.0,5.0,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,-,1,-,-,4859.0,1
cuda,openai-base,5805.0,31.71,,31.0,32.0,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,-,1,-,-,3806.0,1
cuda,opf-ru-v2,2286.0,55.89,,17.0,19.0,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,-,1,-,-,4196.0,1
cuda,gliner2-hivetrace-omni-ru,31086.0,238.1,,4.0,4.0,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,-,10,-,-,3232.0,1
cuda,gliner-stream-pii,8919.0,17.07,,38.0,188.0,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,-,10,-,-,4862.0,29
cuda,openmed-multilingual,2176.0,6.89,,134.0,294.0,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,-,10,-,-,3807.0,8
cuda,openmed-nemotron,2102.0,6.66,,139.0,302.0,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,-,10,-,-,3807.0,8
cuda,opf-ru,1736.0,5.5,,156.0,370.0,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,-,10,-,-,3805.0,8
cuda,traciora,1481.0,2.68,,250.0,1079.0,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,-,10,-,-,3806.0,29
cuda,openai-base,1174.0,3.72,,254.0,550.0,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,-,10,-,-,3805.0,8
cuda,opf-ru-v2,1101.0,2.92,,242.0,863.0,NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition,-,10,-,-,3807.0,18
cuda,opf-ru-v2,35703.0,20.76,,27.0,131.0,NVIDIA RTX PRO 6000 Blackwell Server Edition,-,1,-,-,4144.0,2
cuda,opf-ru-v2,870.0,1.51,,469.0,975.0,NVIDIA RTX PRO 6000 Blackwell Server Edition,-,16,-,-,3797.0,2
cuda,opf-ru-v2+homoglyph,1419.0,15.62,,64.0,79.0,NVIDIA RTX PRO 6000 Blackwell Server Edition,-,20,-,homoglyph,3793.0,1
cuda,opf-ru-v2,970.0,1.56,,438.0,1928.0,NVIDIA RTX PRO 6000 Blackwell Server Edition,-,20,-,-,3804.0,18
cuda,gliner25-fastino+nochunk,28048.0,35.93,,7.0,141.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,-,1,-,nochunk,3219.0,1
cuda,gliner-pii-edge,2550.0,1.05,,563.0,3200.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,-,1,-,-,1702.0,1
cuda,gliner25-fastino+nochunk,14889.0,6.23,,114.0,496.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,-,8,-,nochunk,3222.0,1
cuda,gliner-pii-edge,1435.0,2.19,,96.0,1822.0,NVIDIA RTX PRO 6000 Blackwell Workstation Edition,-,8,-,-,1920.0,33
